VARIABLES=X,Y,U,V
ZONE T="0" i=64, j=64 ZONETYPE=ORDERED, DATAPACKING=POINT
-0.500000	-0.500000	0	0
-0.500000	-0.484375	0	0
-0.500000	-0.468750	0	0
-0.500000	-0.453125	0	0
-0.500000	-0.437500	0	0
-0.500000	-0.421875	0	0
-0.500000	-0.406250	0	0
-0.500000	-0.390625	0	0
-0.500000	-0.375000	0	0
-0.500000	-0.359375	0	0
-0.500000	-0.343750	0	0
-0.500000	-0.328125	0	0
-0.500000	-0.312500	0	0
-0.500000	-0.296875	0	0
-0.500000	-0.281250	0	0
-0.500000	-0.265625	0	0
-0.500000	-0.250000	0	0
-0.500000	-0.234375	0	0
-0.500000	-0.218750	0	0
-0.500000	-0.203125	0	0
-0.500000	-0.187500	0	0
-0.500000	-0.171875	0	0
-0.500000	-0.156250	0	0
-0.500000	-0.140625	0	0
-0.500000	-0.125000	0	0
-0.500000	-0.109375	0	0
-0.500000	-0.093750	0	0
-0.500000	-0.078125	0	0
-0.500000	-0.062500	0	0
-0.500000	-0.046875	0	0
-0.500000	-0.031250	0	0
-0.500000	-0.015625	0	0
-0.500000	0.000000	0	0
-0.500000	0.015625	0	0
-0.500000	0.031250	0	0
-0.500000	0.046875	0	0
-0.500000	0.062500	0	0
-0.500000	0.078125	0	0
-0.500000	0.093750	0	0
-0.500000	0.109375	0	0
-0.500000	0.125000	0	0
-0.500000	0.140625	0	0
-0.500000	0.156250	0	0
-0.500000	0.171875	0	0
-0.500000	0.187500	0	0
-0.500000	0.203125	0	0
-0.500000	0.218750	0	0
-0.500000	0.234375	0	0
-0.500000	0.250000	0	0
-0.500000	0.265625	0	0
-0.500000	0.281250	0	0
-0.500000	0.296875	0	0
-0.500000	0.312500	0	0
-0.500000	0.328125	0	0
-0.500000	0.343750	0	0
-0.500000	0.359375	0	0
-0.500000	0.375000	0	0
-0.500000	0.390625	0	0
-0.500000	0.406250	0	0
-0.500000	0.421875	0	0
-0.500000	0.437500	0	0
-0.500000	0.453125	0	0
-0.500000	0.468750	0	0
-0.500000	0.484375	0	0
-0.484375	-0.500000	0	0
-0.484375	-0.484375	0.000252874	-0.000251563
-0.484375	-0.468750	0.000448072	-0.000824788
-0.484375	-0.453125	0.000523189	-0.00157258
-0.484375	-0.437500	0.000500583	-0.00231029
-0.484375	-0.421875	0.000398316	-0.00291077
-0.484375	-0.406250	0.000227217	-0.00325834
-0.484375	-0.390625	-8.16422e-06	-0.00324839
-0.484375	-0.375000	-0.00030599	-0.00278343
-0.484375	-0.359375	-0.00066369	-0.00177291
-0.484375	-0.343750	-0.0010756	-0.000136578
-0.484375	-0.328125	-0.00153179	0.00219045
-0.484375	-0.312500	-0.00201794	0.00525238
-0.484375	-0.296875	-0.00251578	0.00906811
-0.484375	-0.281250	-0.00300424	0.013628
-0.484375	-0.265625	-0.00346095	0.0188922
-0.484375	-0.250000	-0.00386386	0.0247918
-0.484375	-0.234375	-0.00419282	0.0312305
-0.484375	-0.218750	-0.00443097	0.0380892
-0.484375	-0.203125	-0.00456576	0.0452309
-0.484375	-0.187500	-0.00458954	0.0525068
-0.484375	-0.171875	-0.00449982	0.0597619
-0.484375	-0.156250	-0.00429904	0.0668417
-0.484375	-0.140625	-0.00399412	0.0735968
-0.484375	-0.125000	-0.0035958	0.0798884
-0.484375	-0.109375	-0.00311774	0.0855917
-0.484375	-0.093750	-0.0025757	0.0905987
-0.484375	-0.078125	-0.00198663	0.0948207
-0.484375	-0.062500	-0.00136805	0.0981896
-0.484375	-0.046875	-0.000738004	0.100656
-0.484375	-0.031250	-0.000113081	0.102197
-0.484375	-0.015625	0.000492568	0.102805
-0.484375	0.000000	0.00106486	0.102489
-0.484375	0.015625	0.00159175	0.101284
-0.484375	0.031250	0.00206458	0.0992361
-0.484375	0.046875	0.00247615	0.0964096
-0.484375	0.062500	0.00282092	0.0928799
-0.484375	0.078125	0.00309569	0.0887335
-0.484375	0.093750	0.0032994	0.0840654
-0.484375	0.109375	0.00343284	0.0789765
-0.484375	0.125000	0.0034985	0.0735713
-0.484375	0.140625	0.00350038	0.0679554
-0.484375	0.156250	0.00344374	0.062233
-0.484375	0.171875	0.00333489	0.0565049
-0.484375	0.187500	0.00318088	0.0508656
-0.484375	0.203125	0.00298917	0.0454019
-0.484375	0.218750	0.00276727	0.0401914
-0.484375	0.234375	0.00252223	0.0353015
-0.484375	0.250000	0.00226004	0.0307901
-0.484375	0.265625	0.00198454	0.0267068
-0.484375	0.281250	0.00169544	0.0230974
-0.484375	0.296875	0.00138463	0.0200111
-0.484375	0.312500	0.00102955	0.0175147
-0.484375	0.328125	0.000581935	0.0157145
-0.484375	0.343750	-5.04689e-05	0.0147967
-0.484375	0.359375	-0.0010308	0.0150788
-0.484375	0.375000	-0.00262696	0.0170875
-0.484375	0.390625	-0.00525504	0.021654
-0.484375	0.406250	-0.00952077	0.0300044
-0.484375	0.421875	-0.0162303	0.0438584
-0.484375	0.437500	-0.0262709	0.0651967
-0.484375	0.453125	-0.0388351	0.0939968
-0.484375	0.468750	-0.038087	0.136242
-0.484375	0.484375	0.0726683	0.135725
-0.468750	-0.500000	0	0
-0.468750	-0.484375	0.000824746	-0.000440222
-0.468750	-0.468750	0.00132283	-0.00130984
-0.468750	-0.453125	0.00147435	-0.00236763
-0.468750	-0.437500	0.0013331	-0.00333983
-0.468750	-0.421875	0.000943877	-0.00402403
-0.468750	-0.406250	0.000335987	-0.00423427
-0.468750	-0.390625	-0.000472901	-0.00380374
-0.468750	-0.375000	-0.00146897	-0.00258284
